Client ID;Age;Gender;Interest;VisitTime;City;Device;OS;VisitPage;AdsTool;VisitNumber;ViewedPage;Registration
55;0;2;0;18;1;0;1;0;4;0;2;1
56;2;2;0;12;1;0;1;1;3;1;2;1
57;0;1;0;21;1;0;0;1;1;1;3;1
58;1;2;2;16;1;0;0;0;1;1;1;1
59;2;1;0;16;0;0;1;1;2;1;2;1
60;0;2;0;20;0;0;0;1;3;1;1;1
61;1;2;1;16;1;0;1;0;2;0;3;1
62;1;1;0;12;0;0;0;1;0;1;3;1
63;0;1;0;19;0;0;0;1;1;0;4;1
64;1;1;0;18;0;0;1;0;5;1;0;1
65;2;1;3;10;1;0;1;1;0;1;0;1
66;2;2;0;21;0;0;1;1;1;0;0;1
67;2;1;0;14;1;0;1;1;0;1;1;1
68;2;1;0;17;1;0;0;1;0;1;1;1
69;0;2;0;14;0;0;1;1;1;1;2;1
70;0;1;0;19;0;0;0;1;1;0;3;1
71;0;1;2;8;0;0;0;0;0;1;2;1
72;2;2;0;7;0;0;1;0;1;1;4;1
73;0;2;3;11;1;0;0;1;2;0;2;1
74;0;0;0;16;0;0;1;1;0;0;0;1
75;0;2;0;21;0;0;0;0;3;1;2;1
76;1;2;0;21;0;0;1;0;5;0;0;1
77;1;2;0;18;0;0;0;1;0;1;1;1
78;3;0;0;10;0;0;1;1;1;1;2;1
79;2;1;0;16;0;0;1;0;0;0;2;1
80;0;2;0;22;0;0;1;1;2;1;0;1
81;0;0;0;13;1;0;1;1;1;0;3;1
82;0;1;4;13;1;0;1;1;0;1;4;1
83;0;1;0;16;0;0;1;0;1;1;0;1
84;1;1;0;11;0;0;1;0;3;0;3;1
85;2;1;8;7;0;0;1;0;0;1;2;1
86;0;1;3;11;0;0;0;1;0;1;3;1
87;1;0;0;13;0;0;1;0;0;1;4;1
88;0;1;0;7;0;0;1;0;1;0;4;1
89;3;1;2;21;0;0;0;0;0;0;3;1
90;2;2;3;21;1;0;1;1;1;1;3;1
91;0;1;0;17;1;0;1;1;2;1;3;1
92;2;0;0;17;0;0;1;0;1;0;0;1
93;0;2;2;10;0;0;1;0;0;0;2;1
94;2;1;0;13;1;0;0;1;0;1;3;1
95;1;1;2;9;0;0;0;1;4;1;1;1
96;2;2;0;7;0;0;0;1;1;1;6;1
97;1;0;0;18;1;0;1;1;0;1;1;1
98;3;0;1;10;0;0;0;0;3;1;2;1
99;0;2;3;12;1;0;1;1;1;1;4;1
100;1;2;0;23;1;0;1;0;2;1;2;1
101;0;2;0;12;1;0;0;1;1;0;1;1
102;0;2;0;21;0;0;1;0;2;1;0;1
103;1;1;0;11;1;0;0;1;2;1;2;1
104;1;1;0;16;0;0;0;1;0;0;6;1
105;4;2;0;15;0;0;1;1;5;1;1;1
106;0;1;0;14;1;0;0;0;2;0;4;1
107;3;1;0;20;0;0;1;0;2;0;0;1
108;0;1;2;18;1;0;1;1;0;0;4;1
109;2;2;3;18;1;0;0;0;1;0;4;1
110;0;1;0;13;1;0;1;1;0;0;0;1
111;2;1;0;15;1;0;0;1;0;1;0;1
112;3;2;0;7;0;0;1;1;3;0;6;1
113;1;1;0;12;1;0;1;0;1;0;2;1
114;0;2;0;16;0;0;1;0;1;1;0;1
115;0;1;0;21;0;0;0;1;3;1;1;1
116;0;1;0;7;0;0;0;0;0;1;4;1
117;0;2;0;6;1;0;1;1;0;1;4;1
118;2;1;0;11;0;0;1;1;0;1;0;1
119;0;1;0;19;1;0;0;1;1;1;3;1
120;2;1;3;10;1;0;0;0;4;0;1;1
121;0;1;0;16;1;0;0;1;3;1;3;1
122;3;1;5;9;1;0;1;0;4;1;1;1
123;1;2;1;21;1;0;1;1;0;0;1;1
124;3;1;1;16;0;0;1;1;0;1;3;1
125;0;2;0;9;0;0;1;1;2;1;2;1
126;1;1;0;10;1;0;0;1;5;0;1;1
127;1;1;0;10;0;0;0;0;0;0;0;1
128;2;1;2;18;0;0;0;0;0;0;2;1
129;2;1;0;11;0;0;0;1;2;0;4;1
130;0;1;0;18;0;0;1;1;0;0;4;1
131;0;2;2;17;1;0;0;1;0;0;0;1
132;0;2;2;14;1;0;1;1;5;1;1;1
133;3;1;0;12;1;0;0;0;1;0;4;1
134;1;2;0;0;0;0;1;0;1;0;0;1
135;1;1;0;17;1;0;0;1;0;1;0;1
136;1;1;0;8;1;0;1;0;0;0;3;1
137;3;2;3;13;1;0;1;1;0;0;4;1
138;1;2;0;11;0;0;1;1;0;1;3;1
139;0;1;0;17;0;0;1;0;0;0;2;1
140;0;1;2;11;0;0;1;0;5;1;0;1
141;3;2;0;12;0;0;1;0;3;1;0;1
142;1;1;0;19;0;0;1;0;0;0;0;1
143;1;1;0;10;0;0;0;0;0;1;4;1
144;0;2;0;10;1;0;0;1;5;1;4;1
145;0;1;0;10;0;0;0;1;2;1;2;1
146;0;1;5;15;1;0;0;0;0;1;3;1
147;1;2;0;19;0;0;1;0;1;1;0;1
148;2;2;0;7;0;0;1;1;0;0;3;1
149;0;1;0;8;0;0;0;1;5;1;3;1
150;0;0;0;16;1;0;0;0;2;1;2;1
151;0;0;4;9;0;0;0;1;2;0;4;1
152;1;1;2;11;0;0;1;1;0;1;0;1
153;0;1;4;9;0;0;1;1;1;0;2;1
154;0;2;3;15;1;0;1;1;2;1;1;1
155;1;1;0;11;0;0;1;1;4;0;3;1
156;1;1;0;9;0;0;0;1;2;1;2;1
157;0;1;2;5;1;0;1;0;0;0;4;1
158;0;1;1;17;0;0;1;1;1;1;3;1
159;3;1;0;13;1;0;1;0;1;1;4;1
160;0;2;0;13;0;0;0;0;0;1;3;1
161;1;0;0;19;1;0;0;0;1;0;4;1
162;0;1;0;9;0;0;0;0;1;0;3;1
163;0;2;0;9;1;0;0;1;1;1;2;1
164;1;2;5;11;1;0;1;1;1;1;2;1
165;0;1;0;22;0;0;1;1;2;1;6;1
166;2;1;0;14;1;0;1;0;3;1;2;1
167;0;1;4;20;0;0;1;1;0;0;3;1
168;2;2;0;4;1;0;1;0;0;1;0;1
169;0;2;1;14;1;0;0;0;0;0;2;1
170;2;1;0;19;1;0;1;1;1;0;3;1
171;3;0;0;9;0;0;1;0;2;0;2;1
172;0;2;0;15;0;0;1;0;5;1;0;1
173;2;2;0;12;1;0;1;1;0;1;0;1
174;0;1;0;18;0;0;1;0;0;1;0;1
175;0;1;0;12;0;0;0;1;3;0;3;1
176;1;1;0;16;0;0;1;1;5;0;0;1
177;0;2;0;11;1;0;0;0;3;1;2;1
178;0;1;0;9;0;0;1;0;0;0;3;1
179;0;2;2;14;0;0;0;0;1;1;4;1
180;1;2;0;12;1;0;0;1;3;0;1;1
181;0;2;0;23;0;0;1;0;0;1;3;1
182;0;2;0;6;0;0;1;0;0;0;1;1
183;3;2;1;13;1;0;1;0;0;1;2;1
184;1;2;0;11;0;0;0;1;0;1;0;1
185;0;2;4;21;1;0;0;0;0;1;1;1
186;0;1;1;16;0;0;0;1;0;0;0;1
187;1;0;2;13;0;0;1;0;0;1;0;1
188;0;2;0;12;0;0;1;1;1;1;4;1
189;1;0;0;13;0;0;0;0;5;1;5;1
190;3;2;3;17;0;0;1;0;4;0;2;1
191;2;2;0;10;1;0;1;0;0;1;2;1
192;0;2;2;7;1;0;1;0;5;1;3;1
193;0;2;0;15;0;0;0;1;1;1;4;1
194;2;1;0;15;1;0;0;0;0;1;4;1
195;0;1;0;7;0;0;1;0;0;0;3;1
196;1;2;0;11;0;0;0;1;2;0;4;1
197;1;2;0;20;0;0;1;0;0;0;2;1
198;0;2;0;18;0;0;1;0;1;1;2;1
199;0;0;4;12;1;0;0;1;0;1;0;1
200;0;1;0;11;1;0;0;0;0;1;3;1
201;2;1;0;19;0;0;0;0;2;1;3;1
202;2;2;0;19;1;0;0;1;5;0;1;1
203;1;1;0;19;0;0;0;1;1;1;2;1
204;1;1;2;21;0;0;0;1;0;1;0;1
205;0;1;0;12;0;0;1;1;0;1;3;1
206;4;2;4;14;1;0;1;1;0;0;1;1
207;0;1;1;10;0;0;1;0;1;1;3;1
208;0;1;0;15;0;0;0;0;0;1;4;1
209;0;1;0;19;1;0;1;0;2;1;2;1
210;4;0;0;20;0;0;1;0;1;0;1;1
211;0;0;3;12;0;0;1;1;5;1;1;1
212;0;1;0;13;0;0;1;1;0;1;0;1
213;2;1;0;18;0;0;0;1;0;0;1;1
214;0;0;0;22;0;0;0;1;0;1;4;1
215;3;1;2;9;1;0;1;1;0;1;1;1
216;0;1;0;19;0;0;0;0;3;1;2;1
217;0;1;0;14;1;0;1;1;1;1;1;1
218;2;2;0;10;0;0;0;1;1;1;0;1
219;0;2;0;16;1;0;1;1;0;1;1;1
220;0;2;0;12;0;0;1;1;0;1;6;1
221;2;1;1;18;0;0;1;1;4;1;1;1
222;0;1;0;13;0;0;1;1;0;1;2;1
223;0;1;0;23;0;0;0;0;3;1;1;1
224;0;2;2;17;1;0;0;1;0;1;0;1
225;2;1;3;22;0;0;1;0;0;1;0;1
226;1;1;0;12;1;0;1;0;1;0;3;1
227;0;1;0;14;1;0;1;0;0;1;2;1
228;0;1;0;10;0;0;1;0;0;1;0;1
229;0;1;0;11;0;0;1;1;0;0;2;1
230;3;1;2;9;1;0;1;1;3;1;0;1
231;1;2;0;21;0;0;1;1;3;0;0;1
232;0;1;0;6;1;0;1;1;1;1;2;1
233;0;2;0;20;0;0;1;0;1;0;3;1
234;0;2;9;21;1;0;0;1;1;1;2;1
235;0;1;0;10;0;0;0;1;0;1;3;1
236;3;2;0;17;1;0;1;1;3;1;1;1
237;0;1;4;9;1;0;0;0;0;1;2;1
238;0;1;7;20;0;0;1;1;0;1;4;1
239;0;1;0;9;0;0;1;1;3;0;4;1
240;2;2;0;14;1;0;0;0;0;0;4;1
241;0;2;0;20;0;0;0;1;0;0;3;1
242;0;1;2;18;1;0;0;0;1;0;1;1
243;0;1;1;16;0;0;0;1;1;1;3;1
244;2;1;0;9;1;0;0;1;2;0;3;1
245;0;2;2;21;1;0;1;0;5;1;3;1
246;2;2;0;21;1;0;1;1;0;0;2;1
247;1;1;0;20;0;0;0;1;1;0;0;1
248;2;1;2;8;0;0;0;1;0;1;1;1
249;0;1;0;15;1;0;0;1;3;0;3;1
250;0;2;3;23;0;0;1;1;2;0;0;1
251;0;1;0;9;0;0;1;0;0;1;2;1
252;1;1;0;10;1;0;0;1;5;1;1;1
253;0;0;0;16;0;0;1;0;1;1;1;1
254;3;2;0;14;0;0;1;0;1;0;2;1
255;3;1;6;19;0;0;0;1;0;0;1;1
256;0;1;3;9;1;0;1;0;0;1;0;1
257;2;1;0;14;0;0;1;1;1;1;3;1
258;0;2;1;15;0;0;1;1;0;1;6;1
259;0;1;0;12;1;0;1;1;5;1;1;1
260;2;2;2;17;1;0;1;1;3;1;0;1
261;1;1;8;14;0;0;1;0;0;1;4;1
262;0;1;0;15;1;0;0;0;1;1;4;1
263;0;2;0;19;1;0;1;0;1;0;3;1
264;2;0;4;13;0;0;1;1;2;1;4;1
265;2;2;0;7;1;0;1;1;0;1;1;1
266;0;2;0;10;1;0;1;1;3;1;0;1
267;2;2;0;21;0;0;0;1;1;0;0;1
268;0;2;0;9;0;0;1;1;2;0;2;1
269;2;1;0;15;0;0;0;0;5;0;0;1
270;0;1;6;10;1;0;0;1;0;1;0;1
271;0;1;0;14;1;0;1;1;5;0;0;1
272;2;1;0;15;0;0;0;1;3;1;4;1
273;1;1;0;7;0;0;1;1;0;0;3;1
274;2;2;0;12;0;0;1;1;3;0;0;1
275;0;1;0;16;1;0;0;1;0;0;1;1
276;0;1;0;9;0;0;1;1;3;1;1;1
277;2;2;1;15;0;0;1;1;1;1;0;1
278;2;1;0;14;0;0;1;1;0;1;4;1
279;0;2;3;22;0;0;1;1;0;1;1;1
280;4;2;3;15;0;0;0;0;5;1;0;1
281;2;1;0;11;0;0;0;0;1;1;6;1
282;0;1;0;17;1;0;1;0;1;0;2;1
283;0;2;0;16;0;0;1;0;0;1;2;1
284;1;1;2;12;0;0;1;1;3;1;0;1
285;1;2;0;18;1;0;0;0;0;0;2;1
286;0;0;0;15;0;0;0;1;2;0;0;1
287;2;1;4;21;1;0;1;0;2;0;1;1
288;0;1;0;2;0;0;1;0;0;1;0;1
289;0;2;0;19;0;0;0;1;1;0;1;1
290;0;1;0;14;0;0;1;0;0;1;3;1
291;2;0;0;15;1;0;0;1;4;1;0;1
292;0;2;0;21;1;0;1;0;1;1;1;1
293;4;1;1;13;1;0;1;1;5;1;6;1
294;2;2;5;13;0;0;1;0;0;1;4;1
295;2;0;0;15;1;0;0;0;5;1;0;1
296;3;1;0;11;1;0;1;1;3;0;0;1
297;0;1;0;18;0;0;0;0;2;1;2;1
298;3;2;0;11;1;0;0;0;0;0;4;1
299;0;1;0;14;0;0;1;0;0;1;4;1
300;0;1;0;17;1;0;0;0;5;1;2;1
301;0;1;2;10;1;0;1;1;0;1;1;1
302;0;2;0;16;0;0;1;0;0;1;4;1
303;1;2;0;16;1;0;1;0;2;1;2;1
304;2;2;0;19;1;0;1;1;0;0;4;1
305;3;2;0;12;1;0;1;0;0;1;1;1
306;0;2;0;12;1;0;0;0;0;1;3;1
307;0;2;4;10;0;0;0;1;1;0;4;1
308;1;2;8;9;0;0;1;1;5;1;4;1
309;0;0;0;18;0;0;0;0;1;1;0;1
310;3;1;0;15;0;0;1;1;0;0;3;1
311;2;1;4;14;1;0;0;0;3;0;2;1
312;0;1;1;7;0;0;1;1;1;1;1;1
313;0;2;0;21;1;0;1;0;3;0;6;1
314;1;1;6;14;1;0;1;0;5;1;2;1
315;0;1;0;10;1;0;0;0;2;1;1;1
316;1;1;0;23;1;0;1;0;2;1;1;1
317;0;1;0;18;0;0;0;1;0;1;0;1
318;0;1;0;22;0;0;1;1;1;1;4;1
319;1;2;0;18;1;0;0;0;1;0;4;1
320;0;1;3;18;0;0;1;1;1;1;4;1
321;0;1;0;15;1;0;0;1;0;1;0;1
322;0;2;0;12;1;0;1;0;0;0;3;1
323;0;1;3;20;0;0;1;1;0;1;0;1
324;0;2;0;18;0;0;1;1;0;1;4;1
325;0;2;1;12;0;0;0;1;2;0;0;1
326;1;1;7;7;1;0;0;0;1;0;6;1
327;0;1;3;19;0;0;1;0;1;1;4;1
328;1;2;4;23;0;0;1;0;1;0;6;1
329;1;2;0;0;0;0;0;0;0;1;3;1
330;0;1;1;17;1;0;1;1;1;1;0;1
331;0;1;0;13;1;0;1;0;1;0;4;1
332;1;1;0;15;0;0;1;0;1;1;1;1
333;1;1;0;10;0;0;1;1;3;0;2;1
334;0;2;4;18;0;0;1;0;0;1;1;1
335;0;1;1;11;1;0;1;0;1;1;1;1
336;0;1;0;13;0;0;1;1;3;0;1;1
337;1;2;0;12;0;0;0;1;4;0;0;1
338;0;1;0;10;1;0;1;0;0;1;0;1
339;0;2;3;6;0;0;1;1;5;1;1;1
340;1;0;0;9;0;0;1;0;1;0;1;1
341;2;2;2;20;0;0;0;0;2;0;2;1
342;0;2;3;9;0;0;1;0;0;0;3;1
343;0;1;4;7;0;0;0;1;0;1;4;1
344;0;1;0;17;0;0;0;1;3;1;0;1
345;1;2;0;17;1;0;0;0;1;0;4;1
346;0;1;4;11;1;0;0;1;1;1;4;1
347;1;1;1;13;0;0;1;0;1;0;0;1
348;0;2;4;10;1;0;0;0;0;1;3;1
349;2;1;0;4;1;0;0;0;0;0;2;1
350;3;1;0;6;0;0;1;0;1;0;2;1
351;1;1;0;8;0;0;0;1;5;1;1;1
352;0;2;0;12;1;0;1;1;0;1;3;1
353;1;1;0;15;0;0;1;0;0;0;2;1
354;0;1;0;7;0;0;1;0;0;1;0;1
355;1;1;0;16;1;0;0;1;0;0;1;1
356;0;2;0;10;0;0;0;1;0;1;0;1
357;1;1;4;19;1;0;1;1;3;1;4;1
358;2;1;1;22;0;0;0;0;0;1;0;1
359;2;2;0;15;0;0;0;0;5;0;1;1
360;3;2;0;13;1;0;1;1;1;1;3;1
361;0;2;0;23;1;0;1;0;0;1;1;1
362;3;2;0;10;0;0;1;1;1;1;2;1
363;0;1;0;7;0;0;1;1;1;1;3;1
364;0;1;1;0;1;0;0;1;0;1;0;1
365;0;1;4;6;1;0;0;0;1;1;2;1
366;1;2;0;13;0;0;1;1;0;1;0;1
367;1;1;0;9;0;0;0;1;0;0;0;1
368;2;2;0;9;0;0;0;0;4;0;2;1
369;0;1;0;13;1;0;0;0;0;0;1;1
370;3;1;0;12;0;0;0;0;1;1;1;1
371;0;1;1;0;0;0;0;0;0;0;2;1
372;0;2;1;10;1;0;0;0;1;0;1;1
373;0;1;0;20;0;0;1;1;2;1;3;1
374;0;1;0;7;0;0;1;0;4;1;1;1
375;0;2;0;8;0;0;0;0;3;1;1;1
376;0;1;0;8;0;0;1;0;1;1;1;1
377;4;2;0;10;0;0;1;1;1;1;1;1
378;0;0;0;10;0;0;1;1;3;0;1;1
379;0;2;5;15;0;0;0;0;1;1;2;1
380;0;1;0;7;1;0;0;0;1;0;1;1
381;0;2;0;20;0;0;1;1;0;1;2;1
382;1;1;0;21;1;0;1;1;0;0;4;1
383;0;1;0;13;0;0;0;0;0;1;0;1
384;1;1;0;18;0;0;1;1;5;1;5;1
385;2;2;6;15;1;0;0;0;0;0;6;1
386;0;1;2;10;0;0;1;1;1;1;1;1
387;0;0;0;17;1;0;1;1;5;1;1;1
388;0;1;0;11;1;0;0;1;5;1;4;1
389;0;1;0;21;0;0;0;1;1;1;3;1
390;0;1;0;20;0;0;0;0;1;1;3;1
391;0;1;0;15;1;0;1;0;1;0;1;1
392;0;2;0;13;1;0;1;1;5;1;2;1
393;1;2;3;12;1;0;1;1;0;1;6;1
394;2;1;1;7;1;0;0;0;1;0;1;1
395;0;2;0;20;1;0;1;1;0;0;1;1
396;0;2;0;10;1;0;1;0;1;1;1;1
397;0;1;0;11;0;0;1;1;2;0;0;1
398;3;2;0;12;1;0;0;0;0;1;0;1
399;0;1;1;20;0;0;0;0;0;0;1;1
400;0;2;0;21;0;0;0;0;0;0;6;1
401;2;1;0;7;1;0;0;0;0;0;2;1
402;3;1;0;12;1;0;1;0;3;1;1;1
403;0;2;0;4;1;0;1;1;0;1;6;1
404;1;1;0;14;0;0;0;1;0;1;3;1
405;0;2;2;19;1;0;1;0;0;0;0;1
406;2;2;0;18;1;0;1;0;0;1;1;1
407;2;0;4;14;1;0;1;0;3;0;1;1
408;0;1;0;14;1;0;1;1;0;1;1;1
409;0;2;0;17;1;0;1;0;3;1;1;1
410;0;2;0;15;0;0;1;1;0;1;1;1
411;0;1;0;10;1;0;1;0;0;0;5;1
412;1;1;0;13;0;0;1;0;1;1;2;1
413;1;2;2;8;0;0;1;1;1;1;2;1
414;1;1;0;21;1;0;1;1;1;1;0;1
415;0;2;0;16;1;0;1;0;5;1;3;1
416;0;2;0;11;1;0;1;0;1;0;0;1
417;1;2;0;15;0;0;0;0;0;0;3;1
418;0;1;0;16;0;0;0;1;0;1;0;1
419;1;0;0;12;0;0;1;1;1;0;3;1
420;1;2;1;14;0;0;0;1;2;0;0;1
421;0;2;1;11;1;0;1;1;1;0;1;1
422;0;1;2;9;0;0;0;1;3;1;3;1
423;0;1;0;12;0;0;1;1;1;0;0;1
424;2;1;0;9;0;0;0;0;1;0;3;1
425;1;1;0;13;0;0;1;1;1;1;6;1
426;3;1;0;18;0;0;1;0;4;1;3;1
427;1;2;0;14;0;0;0;1;0;1;0;1
428;0;2;0;8;0;0;1;0;4;1;2;1
429;0;1;0;13;0;0;1;0;0;0;4;1
430;1;0;2;11;1;0;0;0;5;0;2;1
431;0;2;0;7;0;0;0;0;1;1;1;1
432;0;1;0;14;1;0;1;1;1;0;0;1
433;0;0;0;11;0;0;1;0;5;1;2;1
434;0;1;0;18;0;0;0;0;0;1;3;1
435;0;1;1;4;0;0;0;0;1;1;0;1
436;0;2;0;12;0;0;1;1;1;1;2;1
437;0;1;0;18;0;0;0;1;0;0;6;1
438;1;1;0;16;1;0;0;1;0;1;6;1
439;1;2;0;7;1;0;1;1;5;0;2;1
440;0;1;0;10;0;0;0;0;1;0;3;1
441;1;1;4;20;1;0;1;1;1;1;3;1
442;0;1;0;10;0;0;1;1;1;1;2;1
443;0;2;4;11;0;0;1;1;2;0;2;1
444;0;1;0;4;1;0;0;1;5;0;4;1
445;0;1;0;13;1;0;1;0;0;1;6;1
446;0;1;4;22;0;0;1;0;5;1;2;1
447;1;1;0;22;1;0;1;1;0;1;1;1
448;0;1;0;10;1;0;0;1;1;1;0;1
449;0;2;3;13;1;0;1;1;1;0;0;1
450;2;1;0;11;0;0;0;1;0;0;0;1
451;1;1;2;12;0;0;1;0;3;1;1;1
452;3;0;2;18;1;0;0;1;0;0;1;1
453;3;1;0;11;1;0;0;1;3;0;1;1
454;0;1;3;21;0;0;1;1;0;0;2;1
455;0;1;0;6;1;0;1;1;0;0;1;1
456;0;1;0;9;1;0;1;0;0;0;1;1
457;0;1;2;15;1;0;0;1;2;1;2;1
458;0;2;0;10;1;0;0;1;0;0;2;1
459;1;1;0;14;0;0;1;0;5;1;2;1
460;0;2;0;11;1;0;1;0;2;1;2;1
461;0;0;0;11;0;0;1;1;0;1;0;1
462;0;1;1;7;0;0;0;1;0;1;1;1
463;3;2;0;19;1;0;1;1;0;1;4;1
464;0;1;0;17;0;0;0;0;0;0;4;1
465;1;1;0;14;1;0;0;0;4;1;3;1
466;0;1;0;16;1;0;0;0;1;1;1;1
467;2;2;0;8;0;0;0;1;0;1;0;1
468;2;1;0;16;0;0;1;1;0;1;0;1
469;2;1;0;11;1;0;1;0;5;1;2;1
470;0;2;0;18;0;0;0;1;0;1;2;1
471;0;2;0;7;1;0;0;1;5;1;3;1
472;0;1;6;10;0;0;1;0;3;1;3;1
473;1;1;0;16;1;0;1;1;5;0;0;1
474;2;2;0;7;0;0;1;0;1;1;2;1
475;0;1;2;21;1;0;0;1;1;1;3;1
476;0;2;2;11;1;0;1;0;3;1;1;1
477;0;2;0;18;0;0;1;0;0;0;3;1
478;0;0;0;19;0;0;1;0;3;1;6;1
479;1;1;0;4;1;0;0;0;0;0;6;1
480;0;1;3;11;0;0;0;0;0;0;0;1
481;0;2;0;17;1;0;1;1;5;1;0;1
482;2;1;7;13;1;0;0;0;1;0;0;1
483;0;2;0;12;1;0;0;1;0;1;1;1
484;2;0;0;17;0;0;0;0;1;0;3;1
485;0;1;0;17;1;0;0;1;2;0;3;1
486;1;2;0;12;0;0;1;1;0;1;3;1
487;2;1;0;20;1;0;0;1;3;1;2;1
488;0;0;0;5;1;0;0;1;5;1;0;1
489;3;2;0;12;1;0;0;0;2;1;0;1
490;0;2;0;20;0;0;1;1;4;1;3;1
491;1;1;4;19;1;0;1;0;0;0;3;1
492;0;2;0;22;0;0;1;0;1;0;4;1
493;0;1;0;12;0;0;1;0;0;0;4;1
494;3;1;7;9;1;0;1;1;0;0;2;1
495;4;2;2;16;0;0;1;0;3;0;4;1
496;0;2;0;19;1;0;0;0;1;0;0;1
497;0;1;0;10;0;0;1;1;3;0;3;1
498;0;0;0;11;0;0;1;1;0;1;3;1
499;0;2;0;21;0;0;0;1;3;1;0;1
500;0;2;0;11;0;0;1;0;1;1;0;1
501;1;0;1;18;1;0;1;1;2;0;1;1
502;0;1;1;12;1;0;1;0;5;1;0;1
503;0;1;2;18;0;0;0;0;1;0;3;1
504;3;2;4;8;1;0;1;1;2;1;2;1
505;2;1;0;15;1;0;1;0;0;0;3;1
506;1;2;0;20;0;0;1;1;1;1;2;1
507;0;2;0;8;0;0;0;0;0;1;2;1
508;1;1;1;10;0;0;1;1;2;0;0;1
509;0;0;0;10;1;0;1;1;3;1;2;1
510;1;1;0;11;1;0;1;0;0;0;2;1
511;0;1;0;18;1;0;0;1;0;1;3;1
512;3;2;0;9;1;0;0;1;1;0;4;1
513;0;2;0;7;1;0;1;1;2;0;0;1
514;3;1;0;11;0;0;1;0;1;1;0;1
515;0;2;0;11;0;0;1;0;3;1;3;1
516;0;1;2;8;1;0;1;0;1;0;2;1
517;1;0;0;16;1;0;1;0;5;0;4;1
518;0;2;0;16;0;0;1;0;0;0;4;1
519;0;0;0;12;0;0;0;1;1;1;4;1
520;3;2;0;8;1;0;0;1;2;1;0;1
521;2;1;0;19;1;0;1;1;0;0;2;1
522;0;1;0;8;0;0;0;1;1;0;1;1
523;4;1;0;19;1;0;1;0;0;0;1;1
524;0;1;5;11;1;0;0;1;4;0;3;1
525;1;2;8;8;1;0;0;1;5;0;6;1
526;1;1;0;10;0;0;1;1;0;1;4;1
527;0;1;0;17;1;0;0;1;0;0;1;1
528;2;1;0;17;1;0;1;0;0;0;4;1
529;0;1;0;18;1;0;0;1;0;1;0;1
530;0;2;5;13;0;0;1;1;0;1;6;1
531;0;2;1;19;1;0;0;0;1;1;1;1
532;1;2;0;20;1;0;1;0;1;1;1;1
533;1;1;0;14;1;0;1;0;2;1;3;1
